trustLevel,totalScanTimeInSeconds,grandTotal,lineItemVoids,scansWithoutRegistration,quantityModifications,scannedLineItemsPerSecond,valuePerSecond,lineItemVoidsPerPosition,fraud
5,1054,54.7,7,0,3,0.027514231499051,0.051897533206831,0.241379310344828,0
3,108,27.36,5,2,4,0.12962962962963,0.253333333333333,0.357142857142857,0
3,1516,62.16,3,10,5,0.008575197889182,0.041002638522427,0.230769230769231,0
6,1791,92.31,8,4,4,0.016192071468453,0.051541038525963,0.275862068965517,0
5,430,81.53,3,7,2,0.062790697674419,0.189604651162791,0.111111111111111,0
1,770,11.09,11,5,2,0.033766233766234,0.014402597402597,0.423076923076923,1
3,294,55.63,2,7,1,0.037414965986395,0.18921768707483,0.181818181818182,0
2,1545,22.8,0,8,4,0.006472491909385,0.014757281553398,0,0
6,962,65.44,7,0,2,0.028066528066528,0.068024948024948,0.259259259259259,0
2,725,41.08,10,2,4,0.037241379310345,0.056662068965517,0.37037037037037,0
5,1533,84.73,4,2,4,0.010437051532942,0.055270711024136,0.25,0
4,764,28.98,8,0,0,0.026178010471204,0.037931937172775,0.4,0
4,1736,5.46,4,10,4,0.005760368663594,0.003145161290323,0.4,0
4,1705,16.96,7,4,4,0.0158357771261,0.009947214076246,0.259259259259259,0
6,1659,52.53,2,1,4,0.012658227848101,0.031663652802893,0.095238095238095,0
1,870,32.45,3,1,5,0.006896551724138,0.037298850574713,0.5,0
3,1295,42.9,11,10,0,0.016988416988417,0.033127413127413,0.5,0
6,590,79.84,6,10,4,0.040677966101695,0.135322033898305,0.25,0
3,139,59,8,5,5,0.028776978417266,0.424460431654676,2,0
3,1724,25.4,7,4,3,0.011020881670534,0.014733178654292,0.368421052631579,0
3,1691,59.61,1,2,2,0.008870490833826,0.035251330573625,0.066666666666667,0
4,1505,2.7,6,4,0,0.003322259136213,0.001794019933555,1.2,0
4,934,98.54,0,5,2,0.008565310492505,0.105503211991435,0,0
2,125,25.5,5,6,2,0.192,0.204,0.208333333333333,0
1,71,78.91,1,4,4,0.014084507042254,1.11140845070423,1,0
5,816,81.54,8,7,1,0.011029411764706,0.099926470588235,0.888888888888889,0
